id,title,text
1401,Poem 1401,ASPIRATION.
1402,We never know how high we are,"Till we are called to rise;
And then, if we are true to plan,
Our statures touch the skies."
1403,The heroism we recite,"Would be a daily thing,
Did not ourselves the cubits warp
For fear to be a king."
1404,Poem 1404,XV.
1405,Poem 1405,THE INEVITABLE.
1406,"While I was fearing it, it came,","But came with less of fear,
Because that fearing it so long
Had almost made it dear.
There is a fitting a dismay,
A fitting a despair.
'Tis harder knowing it is due,
Than knowing it is here.
The trying on the utmost,
The morning it is new,
Is terribler than wearing it
A whole existence through."
1407,Poem 1407,XVI.
1408,Poem 1408,A BOOK.
1409,There is no frigate like a book,"To take us lands away,
Nor any coursers like a page
Of prancing poetry.
This traverse may the poorest take
Without oppress of toll;
How frugal is the chariot
That bears a human soul!"
1410,Poem 1410,XVII.
1411,Who has not found the heaven below,"Will fail of it above.
God's residence is next to mine,
His furniture is love."
1412,Poem 1412,XVIII.
1413,Poem 1413,A PORTRAIT.
1414,"A face devoid of love or grace,","A hateful, hard, successful face,
A face with which a stone
Would feel as thoroughly at ease
As were they old acquaintances, –
First time together thrown."
1415,Poem 1415,XIX.
1416,Poem 1416,I HAD A GUINEA GOLDEN.
1417,I had a guinea golden;,"I lost it in the sand,
And though the sum was simple,
And pounds were in the land,
Still had it such a value
Unto my frugal eye,
That when I could not find it
I sat me down to sigh."
1418,I had a crimson robin,"Who sang full many a day,
But when the woods were painted
He, too, did fly away.
Time brought me other robins, –
Their ballads were the same, –
Still for my missing troubadour
I kept the 'house at hame.'"
1419,I had a star in heaven;,"One Pleiad was its name,
And when I was not heeding
It wandered from the same.
And though the skies are crowded,
And all the night ashine,
I do not care about it,
Since none of them are mine."
1420,My story has a moral:,"I have a missing friend, –
Pleiad its name, and robin,
And guinea in the sand, –
And when this mournful ditty,
Accompanied with tear,
Shall meet the eye of traitor
In country far from here,
Grant that repentance solemn
May seize upon his mind,
And he no consolation
Beneath the sun may find."
1421,"NOTE. – This poem may have had, like many others, a","personal origin. It is more than probable that it was
sent to some friend travelling in Europe, a dainty
reminder of letter–writing delinquencies."
1422,Poem 1422,XX.
1423,Poem 1423,SATURDAY AFTERNOON.
1424,From all the jails the boys and girls,"Ecstatically leap, –
Beloved, only afternoon
That prison doesn't keep."
1425,"They storm the earth and stun the air,","A mob of solid bliss.
Alas! that frowns could lie in wait
For such a foe as this!"
1426,Poem 1426,XXI.
1427,"Few get enough, – enough is one;","To that ethereal throng
Have not each one of us the right
To stealthily belong?"
1428,Poem 1428,XXII.
1429,"Upon the gallows hung a wretch,","Too sullied for the hell
To which the law entitled him.
As nature's curtain fell
The one who bore him tottered in,
For this was woman's son.
''T was all I had,' she stricken gasped;
Oh, what a livid boon!"
1430,Poem 1430,XXIII.
1431,Poem 1431,THE LOST THOUGHT.
1432,I felt a clearing in my mind,"As if my brain had split;
I tried to match it, seam by seam,
But could not make them fit."
1433,The thought behind I strove to join,"Unto the thought before,
But sequence ravelled out of reach
Like balls upon a floor."
1434,Poem 1434,XXIV.
1435,Poem 1435,RETICENCE.
1436,The reticent volcano keeps,"His never slumbering plan;
Confided are his projects pink
To no precarious man."
1437,If nature will not tell the tale,"Jehovah told to her,
Can human nature not survive
Without a listener?"
1438,Admonished by her buckled lips,"Let every babbler be.
The only secret people keep
Is Immortality."
1439,Poem 1439,XXV.
1440,Poem 1440,WITH FLOWERS.
1441,"If recollecting were forgetting,","Then I remember not;
And if forgetting, recollecting,
How near I had forgot!
And if to miss were merry,
And if to mourn were gay,
How very blithe the fingers
That gathered these to–day!"
1442,Poem 1442,XXVI.
1443,The farthest thunder that I heard,"Was nearer than the sky,
And rumbles still, though torrid noons
Have lain their missiles by.
The lightning that preceded it
Struck no one but myself,
But I would not exchange the bolt
For all the rest of life.
Indebtedness to oxygen
The chemist may repay,
But not the obligation
To electricity.
It founds the homes and decks the days,
And every clamor bright
Is but the gleam concomitant
Of that waylaying light.
The thought is quiet as a flake, –
A crash without a sound;
How life's reverberation
Its explanation found!"
1444,Poem 1444,XXVII.
1445,On the bleakness of my lot,"Bloom I strove to raise.
Late, my acre of a rock
Yielded grape and maize."
1446,Soil of flint if steadfast tilled,"Will reward the hand;
Seed of palm by Lybian sun
Fructified in sand."
1447,Poem 1447,XXVIII.
1448,Poem 1448,CONTRAST.
1449,A door just opened on a street –,"I, lost, was passing by –
An instant's width of warmth disclosed,
And wealth, and company."
1450,"The door as sudden shut, and I,","I, lost, was passing by, –
Lost doubly, but by contrast most,
Enlightening misery."
1451,Poem 1451,XXIX.
1452,Poem 1452,FRIENDS.
1453,Are friends delight or pain?,"Could bounty but remain
Riches were good."
1454,But if they only stay,"Bolder to fly away,
Riches are sad."
1455,Poem 1455,XXX.
1456,Poem 1456,FIRE.
1457,Ashes denote that fire was;,"Respect the grayest pile
For the departed creature's sake
That hovered there awhile."
1458,"Fire exists the first in light,","And then consolidates, –
Only the chemist can disclose
Into what carbonates."
1459,Poem 1459,XXXI.
1460,Poem 1460,A MAN.
1461,"Fate slew him, but he did not drop;","She felled – he did not fall –
Impaled him on her fiercest stakes –
He neutralized them all."
1462,"She stung him, sapped his firm advance,","But, when her worst was done,
And he, unmoved, regarded her,
Acknowledged him a man."
1463,Poem 1463,XXXII.
1464,Poem 1464,VENTURES.
1465,"Finite to fail, but infinite to venture.","For the one ship that struts the shore
Many's the gallant, overwhelmed creature
Nodding in navies nevermore."
1466,Poem 1466,XXXIII.
1467,Poem 1467,GRIEFS.
1468,I measure every grief I meet,"With analytic eyes;
I wonder if it weighs like mine,
Or has an easier size."
1469,"I wonder if they bore it long,","Or did it just begin?
I could not tell the date of mine,
It feels so old a pain."
1470,"I wonder if it hurts to live,","And if they have to try,
And whether, could they choose between,
They would not rather die."
1471,I wonder if when years have piled –,"Some thousands – on the cause
Of early hurt, if such a lapse
Could give them any pause;"
1472,Or would they go on aching still,"Through centuries above,
Enlightened to a larger pain
By contrast with the love."
1473,"The grieved are many, I am told;","The reason deeper lies, –
Death is but one and comes but once,
And only nails the eyes."
1474,"There's grief of want, and grief of cold, –","A sort they call 'despair;'
There's banishment from native eyes,
In sight of native air."
1475,And though I may not guess the kind,"Correctly, yet to me
A piercing comfort it affords
In passing Calvary,"
1476,"To note the fashions of the cross,","Of those that stand alone,
Still fascinated to presume
That some are like my own."
1477,Poem 1477,XXXIV.
1478,I have a king who does not speak;,"So, wondering, thro' the hours meek
I trudge the day away,–
Half glad when it is night and sleep,
If, haply, thro' a dream to peep
In parlors shut by day."
1479,"And if I do, when morning comes,","It is as if a hundred drums
Did round my pillow roll,
And shouts fill all my childish sky,
And bells keep saying 'victory'
From steeples in my soul!"
1480,"And if I don't, the little Bird","Within the Orchard is not heard,
And I omit to pray,
'Father, thy will be done' to–day,
For my will goes the other way,
And it were perjury!"
1481,Poem 1481,XXXV.
1482,Poem 1482,DISENCHANTMENT.
1483,It dropped so low in my regard,"I heard it hit the ground,
And go to pieces on the stones
At bottom of my mind;"
1484,"Yet blamed the fate that fractured, less","Than I reviled myself
For entertaining plated wares
Upon my silver shelf."
1485,Poem 1485,XXXVI.
1486,Poem 1486,LOST FAITH.
1487,To lose one's faith surpasses,"The loss of an estate,
Because estates can be
Replenished, – faith cannot."
1488,"Inherited with life,","Belief but once can be;
Annihilate a single clause,
And Being's beggary."
1489,Poem 1489,XXXVII.
1490,Poem 1490,LOST JOY.
1491,I had a daily bliss,"I half indifferent viewed,
Till sudden I perceived it stir, –
It grew as I pursued,"
1492,"Till when, around a crag,","It wasted from my sight,
Enlarged beyond my utmost scope,
I learned its sweetness right."
1493,Poem 1493,XXXVIII.
1494,"I worked for chaff, and earning wheat","Was haughty and betrayed.
What right had fields to arbitrate
In matters ratified?"
1495,"I tasted wheat, – and hated chaff,","And thanked the ample friend;
Wisdom is more becoming viewed
At distance than at hand."
1496,Poem 1496,XXXIX.
1497,"Life, and Death, and Giants","Such as these, are still.
Minor apparatus, hopper of the mill,
Beetle at the candle,
Or a fife's small fame,
Maintain by accident
That they proclaim."
1498,Poem 1498,XL.
1499,Poem 1499,ALPINE GLOW.
1500,"Our lives are Swiss, –","So still, so cool,
Till, some odd afternoon,
The Alps neglect their curtains,
And we look farther on."
1501,"Italy stands the other side,","While, like a guard between,
The solemn Alps,
The siren Alps,
Forever intervene!"
1502,Poem 1502,XLI.
1503,Poem 1503,REMEMBRANCE.
1504,"Remembrance has a rear and front, –","'T is something like a house;
It has a garret also
For refuse and the mouse,"
1505,"Besides, the deepest cellar","That ever mason hewed;
Look to it, by its fathoms
Ourselves be not pursued."
1506,Poem 1506,XLII.
1507,"To hang our head ostensibly,","And subsequent to find
That such was not the posture
Of our immortal mind,"
1508,Affords the sly presumption,"That, in so dense a fuzz,
You, too, take cobweb attitudes
Upon a plane of gauze!"
1509,Poem 1509,XLIII.
1510,Poem 1510,THE BRAIN.
1511,"The brain is wider than the sky,","For, put them side by side,
The one the other will include
With ease, and you beside."
1512,"The brain is deeper than the sea,","For, hold them, blue to blue,
The one the other will absorb,
As sponges, buckets do."
1513,"The brain is just the weight of God,","For, lift them, pound for pound,
And they will differ, if they do,
As syllable from sound."
1514,Poem 1514,XLIV.
1515,The bone that has no marrow;,"What ultimate for that?
It is not fit for table,
For beggar, or for cat."
1516,"A bone has obligations,","A being has the same;
A marrowless assembly
Is culpabler than shame."
1517,But how shall finished creatures,"A function fresh obtain? –
Old Nicodemus' phantom
Confronting us again!"
1518,Poem 1518,XLV.
1519,Poem 1519,THE PAST.
1520,"The past is such a curious creature,","To look her in the face
A transport may reward us,
Or a disgrace."
1521,"Unarmed if any meet her,","I charge him, fly!
Her rusty ammunition
Might yet reply!"
1522,Poem 1522,XLVI.
1523,To help our bleaker parts,"Salubrious hours are given,
Which if they do not fit for earth
Drill silently for heaven."
1524,Poem 1524,XLVII.
1525,"What soft, cherubic creatures","These gentlewomen are!
One would as soon assault a plush
Or violate a star."
1526,"Such dimity convictions,","A horror so refined
Of freckled human nature,
Of Deity ashamed, –"
1527,"It's such a common glory,","A fisherman's degree!
Redemption, brittle lady,
Be so, ashamed of thee."
